Date,Number of people off each day
2021-04-01,1
2021-04-02,1
2021-04-03,1
2021-04-04,2
2021-04-05,2
2021-04-06,2
2021-04-07,3
2021-04-08,4
2021-04-09,2
2021-04-10,3
2021-04-11,2
2021-04-12,1
2021-04-13,1
2021-04-14,1
2021-04-15,0
2021-04-16,0
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,0
2021-04-21,0
2021-04-22,0
2021-04-23,0
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,0
2021-04-28,0
2021-04-29,0
2021-04-30,0
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,0
2021-05-05,0
2021-05-06,0
2021-05-07,0
2021-05-08,0
2021-05-09,0
2021-05-10,0
2021-05-11,1
2021-05-12,1
2021-05-13,1
2021-05-14,2
2021-05-15,2
2021-05-16,2
2021-05-17,1
2021-05-18,2
2021-05-19,2
2021-05-20,2
2021-05-21,1
2021-05-22,1
2021-05-23,0
2021-05-24,0
2021-05-25,0
2021-05-26,0
2021-05-27,0
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
