Latitude,Longitude,Medal Ceremony?,Sport Group,Events Split,UK Date Time,Date,Sport,Venue
37.72216480340486,140.3640114979229,False,Baseball,Australia vs Japan,2021-07-21 01:00:00,21 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,Italy vs United States,2021-07-21 01:00:00,21 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,Mexico vs Canada,2021-07-21 01:00:00,21 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,United States vs Canada,2021-07-22 01:00:00,22 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,Mexico vs Japan,2021-07-22 01:00:00,22 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,Italy vs Australia,2021-07-22 01:00:00,22 July 2021,Baseball/Softball,Fukushima Azuma Baseball Stadium
37.72216480340486,140.3640114979229,False,Baseball,Baseball Opening Round,2021-07-28 04:00:00,28 July 2021,Baseball,Fukushima Azuma Baseball Stadium
43.01517544330762,141.41041300340524,False,Football,Women's Group E: Great Britain vs Chile,2021-07-21 08:30:00,21 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Women's Group E: Japan vs Canada,2021-07-21 08:30:00,21 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group C: Egypt vs Spain,2021-07-22 08:30:00,22 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group C: Argentina vs Australia,2021-07-22 08:30:00,22 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Women's Group E: Chile vs Canada,2021-07-24 08:30:00,24 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Women's Group E: Japan vs Great Britain,2021-07-24 08:30:00,24 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group C: Egypt vs Argentina,2021-07-25 08:30:00,25 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group C: Australia vs Spain,2021-07-25 08:30:00,25 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group B: Romania vs New Zealand,2021-07-28 09:30:00,28 July 2021,Football,Sapporo Dome
43.01517544330762,141.41041300340524,False,Football,Men's Group A: South Africa vs Mexico,2021-07-28 09:30:00,28 July 2021,Football,Sapporo Dome
38.33557331725407,140.95096377309127,False,Football,Women's Group F: China vs Brazil,2021-07-21 09:00:00,21 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Group F: Zambia vs Netherlands,2021-07-21 09:00:00,21 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Group F: China vs Zambia,2021-07-24 09:00:00,24 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Group F: Netherlands vs Brazil,2021-07-24 09:00:00,24 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Group G: New Zealand vs Sweden,2021-07-27 09:00:00,27 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Group E: Chile vs Japan,2021-07-27 09:00:00,27 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Men's Group D: Germany vs Côte d'Ivoire,2021-07-28 09:00:00,28 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Women's Quarterfinal (4 matches),2021-07-30 09:00:00,30 July 2021,Football,Miyagi Stadium
38.33557331725407,140.95096377309127,False,Football,Men's Quarterfinal (4 matches),2021-07-31 09:00:00,31 July 2021,Football,Miyagi Stadium
35.66446761779039,139.52756286092847,False,Football,Women's Group G: Sweden vs United States,2021-07-21 09:30:00,21 July 2021,Football,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Football,Women's Group G: Australia vs New Zealand,2021-07-21 09:30:00,21 July 2021,Football,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Football,Men's Group A: Mexico vs France,2021-07-22 09:00:00,22 July 2021,Football,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Football,Men's Group A: Japan vs South Africa ,2021-07-22 09:00:00,22 July 2021,Football,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Pool Round (6 matches),2021-07-26 01:00:00,26 July 2021,rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Pool Round (6 matches),2021-07-26 08:30:00,26 July 2021,Rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Pool Round (6 matches),2021-07-27 01:00:00,27 July 2021,Rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Placing 9-12 (2 matches) & Quarter-finals (4 matches),2021-07-27 08:30:00,27 July 2021,Rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Placing 11-12,2021-07-28 01:00:00,28 July 2021,Rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Placing 9-10,2021-07-28 01:00:00,28 July 2021,Rugby,Tokyo Stadium
35.66446761779039,139.52756286092847,False,Rugby,Men's Placing 5-8 (2 matches),2021-07-28 01:00:00,28 July 2021,Rugby,Tokyo Stadium
