Date,Total Raised to date,Days into fund raising,Value raised per day,Avg raised per weekday
Friday,0.0,0,,40.77380952380952
Saturday,0.0,1,0.0,31.094566353187048
Sunday,0.0,2,0.0,30.27626811594203
Monday,0.0,3,0.0,32.806372549019606
Tuesday,0.0,4,0.0,30.929292929292927
Wednesday,0.0,5,0.0,33.44298245614035
Thursday,0.0,6,0.0,31.65242165242165
Friday,300.0,7,42.857142857142854,40.77380952380952
Saturday,300.0,8,37.5,31.094566353187048
Sunday,300.0,9,33.333333333333336,30.27626811594203
Monday,300.0,10,30.0,32.806372549019606
Tuesday,300.0,11,27.272727272727273,30.929292929292927
Wednesday,500.0,12,41.666666666666664,33.44298245614035
Thursday,500.0,13,38.46153846153846,31.65242165242165
Friday,500.0,14,35.714285714285715,40.77380952380952
Saturday,500.0,15,33.333333333333336,31.094566353187048
Sunday,500.0,16,31.25,30.27626811594203
Monday,800.0,17,47.05882352941177,32.806372549019606
Tuesday,800.0,18,44.44444444444444,30.929292929292927
Wednesday,800.0,19,42.10526315789474,33.44298245614035
Thursday,800.0,20,40.0,31.65242165242165
Friday,800.0,21,38.095238095238095,40.77380952380952
Saturday,800.0,22,36.36363636363637,31.094566353187048
Sunday,1300.0,23,56.52173913043478,30.27626811594203
Monday,1300.0,24,54.166666666666664,32.806372549019606
Tuesday,1300.0,25,52.0,30.929292929292927
Wednesday,1300.0,26,50.0,33.44298245614035
Thursday,1300.0,27,48.148148148148145,31.65242165242165
Friday,1300.0,28,46.42857142857143,40.77380952380952
Saturday,1400.0,29,48.275862068965516,31.094566353187048
