Branch,Clean Measure names,Recorded Year,True Value
Lewisham,Sales,2020,3200000.0
Lewisham,Profit,2020,470000.0
Lewisham,Number of Staff,2020,15.0
Wimbledon,Sales,2020,4300000.0
Wimbledon,Profit,2020,530000.0
Wimbledon,Number of Staff,2020,15.0
York,Sales,2020,2700000.0
York,Profit,2020,275000.0
York,Number of Staff,2020,10.0
York,Staff Cost,2020,400000.0
Lewisham,Sales,2021,3500000.0
Lewisham,Profit,2021,480000.0
Lewisham,Number of Staff,2021,17.0
Wimbledon,Sales,2021,4099999.9999999995
Wimbledon,Profit,2021,520000.0
Wimbledon,Number of Staff,2021,16.0
York,Sales,2021,3400000.0
York,Profit,2021,340000.0
York,Number of Staff,2021,12.0
York,Staff Cost,2021,450000.0
