Salesperson,Date,Bike Type,Sales,YTD Total
Carl,2021-10-01,Road,60.0,32768.0
Carl,2021-10-02,Road,48.0,32768.0
Carl,2021-10-03,Road,87.0,32768.0
Carl,2021-10-04,Road,4.0,32768.0
Carl,2021-10-05,Road,57.0,32768.0
Carl,2021-10-06,Road,31.0,32768.0
Carl,2021-10-07,Road,63.0,32768.0
Carl,2021-10-08,Road,49.0,32768.0
Carl,2021-10-09,Road,84.0,32768.0
Carl,2021-10-10,Road,85.0,32768.0
Carl,2021-10-11,Road,25.0,32768.0
Carl,2021-10-12,Road,54.0,32768.0
Carl,2021-10-13,Road,41.0,32768.0
Carl,2021-10-14,Road,56.0,32768.0
Carl,2021-10-15,Road,76.0,32768.0
Carl,2021-10-16,Road,100.0,32768.0
Carl,2021-10-17,Road,12.0,32768.0
Carl,2021-10-18,Road,3.0,32768.0
Carl,2021-10-19,Road,38.0,32768.0
Carl,2021-10-20,Road,58.0,32768.0
Carl,2021-10-21,Road,38.0,32768.0
Carl,2021-10-22,Road,6.0,32768.0
Carl,2021-10-23,Road,14.0,32768.0
Carl,2021-10-24,Road,51.0,32768.0
Carl,2021-10-25,Road,26.0,32768.0
Carl,2021-10-26,Road,26.0,32768.0
Carl,2021-10-27,Road,57.0,32768.0
Carl,2021-10-28,Road,27.0,32768.0
Carl,2021-10-29,Road,76.0,32768.0
Carl,2021-10-30,Road,7.0,32768.0
Carl,2021-10-31,Road,81.0,32768.0
Ollie,2021-10-01,Road,18.0,45627.0
Ollie,2021-10-02,Road,74.0,45627.0
Ollie,2021-10-03,Road,87.0,45627.0
Ollie,2021-10-04,Road,91.0,45627.0
Ollie,2021-10-05,Road,50.0,45627.0
Ollie,2021-10-06,Road,62.0,45627.0
Ollie,2021-10-07,Road,5.0,45627.0
Ollie,2021-10-08,Road,88.0,45627.0
Ollie,2021-10-09,Road,63.0,45627.0
Ollie,2021-10-10,Road,73.0,45627.0
Ollie,2021-10-11,Road,95.0,45627.0
Ollie,2021-10-12,Road,5.0,45627.0
Ollie,2021-10-13,Road,35.0,45627.0
Ollie,2021-10-14,Road,81.0,45627.0
Ollie,2021-10-15,Road,34.0,45627.0
Ollie,2021-10-16,Road,86.0,45627.0
Ollie,2021-10-17,Road,48.0,45627.0
Ollie,2021-10-18,Road,24.0,45627.0
Ollie,2021-10-19,Road,54.0,45627.0
Ollie,2021-10-20,Road,58.0,45627.0
Ollie,2021-10-21,Road,6.0,45627.0
Ollie,2021-10-22,Road,71.0,45627.0
Ollie,2021-10-23,Road,42.0,45627.0
Ollie,2021-10-24,Road,95.0,45627.0
Ollie,2021-10-25,Road,84.0,45627.0
Ollie,2021-10-26,Road,84.0,45627.0
Ollie,2021-10-27,Road,26.0,45627.0
Ollie,2021-10-28,Road,71.0,45627.0
Ollie,2021-10-29,Road,36.0,45627.0
Ollie,2021-10-30,Road,30.0,45627.0
Ollie,2021-10-31,Road,1.0,45627.0
Lorna,2021-10-01,Road,90.0,64704.0
Lorna,2021-10-02,Road,37.0,64704.0
Lorna,2021-10-03,Road,96.0,64704.0
Lorna,2021-10-04,Road,84.0,64704.0
Lorna,2021-10-05,Road,81.0,64704.0
Lorna,2021-10-06,Road,66.0,64704.0
Lorna,2021-10-07,Road,88.0,64704.0
Lorna,2021-10-08,Road,60.0,64704.0
Lorna,2021-10-09,Road,93.0,64704.0
Lorna,2021-10-10,Road,69.0,64704.0
Lorna,2021-10-11,Road,55.0,64704.0
Lorna,2021-10-12,Road,0.0,64704.0
Lorna,2021-10-13,Road,21.0,64704.0
Lorna,2021-10-14,Road,100.0,64704.0
Lorna,2021-10-15,Road,81.0,64704.0
Lorna,2021-10-16,Road,61.0,64704.0
Lorna,2021-10-17,Road,29.0,64704.0
Lorna,2021-10-18,Road,85.0,64704.0
Lorna,2021-10-19,Road,1.0,64704.0
Lorna,2021-10-20,Road,93.0,64704.0
Lorna,2021-10-21,Road,54.0,64704.0
Lorna,2021-10-22,Road,31.0,64704.0
Lorna,2021-10-23,Road,51.0,64704.0
Lorna,2021-10-24,Road,2.0,64704.0
Lorna,2021-10-25,Road,3.0,64704.0
Lorna,2021-10-26,Road,75.0,64704.0
Lorna,2021-10-27,Road,13.0,64704.0
Lorna,2021-10-28,Road,33.0,64704.0
Lorna,2021-10-29,Road,56.0,64704.0
Lorna,2021-10-30,Road,90.0,64704.0
Lorna,2021-10-31,Road,19.0,64704.0
Jenny,2021-10-01,Road,64.0,20707.0
Jenny,2021-10-02,Road,60.0,20707.0
Jenny,2021-10-03,Road,60.0,20707.0
Jenny,2021-10-04,Road,12.0,20707.0
Jenny,2021-10-05,Road,10.0,20707.0
Jenny,2021-10-06,Road,95.0,20707.0
Jenny,2021-10-07,Road,0.0,20707.0
Jenny,2021-10-08,Road,9.0,20707.0
Jenny,2021-10-09,Road,30.0,20707.0
Jenny,2021-10-10,Road,22.0,20707.0
Jenny,2021-10-11,Road,6.0,20707.0
Jenny,2021-10-12,Road,9.0,20707.0
Jenny,2021-10-13,Road,46.0,20707.0
Jenny,2021-10-14,Road,56.0,20707.0
Jenny,2021-10-15,Road,6.0,20707.0
Jenny,2021-10-16,Road,59.0,20707.0
Jenny,2021-10-17,Road,81.0,20707.0
Jenny,2021-10-18,Road,8.0,20707.0
Jenny,2021-10-19,Road,70.0,20707.0
Jenny,2021-10-20,Road,27.0,20707.0
Jenny,2021-10-21,Road,5.0,20707.0
Jenny,2021-10-22,Road,92.0,20707.0
Jenny,2021-10-23,Road,43.0,20707.0
Jenny,2021-10-24,Road,14.0,20707.0
Jenny,2021-10-25,Road,55.0,20707.0
Jenny,2021-10-26,Road,65.0,20707.0
Jenny,2021-10-27,Road,59.0,20707.0
Jenny,2021-10-28,Road,7.0,20707.0
Jenny,2021-10-29,Road,75.0,20707.0
Jenny,2021-10-30,Road,96.0,20707.0
Jenny,2021-10-31,Road,37.0,20707.0
Tom,2021-10-01,Road,6.0,74377.0
Tom,2021-10-02,Road,30.0,74377.0
Tom,2021-10-03,Road,39.0,74377.0
Tom,2021-10-04,Road,70.0,74377.0
Tom,2021-10-05,Road,72.0,74377.0
Tom,2021-10-06,Road,23.0,74377.0
Tom,2021-10-07,Road,38.0,74377.0
Tom,2021-10-08,Road,7.0,74377.0
Tom,2021-10-09,Road,96.0,74377.0
Tom,2021-10-10,Road,83.0,74377.0
Tom,2021-10-11,Road,31.0,74377.0
Tom,2021-10-12,Road,67.0,74377.0
Tom,2021-10-13,Road,93.0,74377.0
Tom,2021-10-14,Road,62.0,74377.0
Tom,2021-10-15,Road,65.0,74377.0
Tom,2021-10-16,Road,88.0,74377.0
Tom,2021-10-17,Road,72.0,74377.0
Tom,2021-10-18,Road,96.0,74377.0
Tom,2021-10-19,Road,98.0,74377.0
Tom,2021-10-20,Road,14.0,74377.0
