Complaint,Complaints per Person,Complaint causes,Department,Name
"The lugguage compartment door wasn't working, and I got hit by my own bag 3 (!!!) times during an hour flight :(",2,luggage,Operations,Anya
"Urgh, the food. They run out of tomato juice in the first five minutes of the flight. How can you be on a plane without tomato juice!?",2,food,Operations,Anya
Call that food? The bread was so stale. I thought weapons weren't allowed onboard? I should have been able to bring more onboard in my luggage but the price was too high. ,3,"food, luggage",Operations,Carl
Call that food? The bread was so stale. I thought weapons weren't allowed onboard? I should have been able to bring more onboard in my luggage but the price was too high. ,3,price,Sales,Carl
"I am only 5' 3"" and I still didn't have leg room in economy. I'm just thankful I do yoga!",3,room,Marketing,Carl
The state of the toilets were not suitable for a field let alone first class,3,toilet,Operations,Carl
I'm really disappointed the pilot didn't fly past my house,1,other,Unknown,Ian
The baby changing facilities were not suitable for my high standards,1,baby changing,Operations,Oscar
I have seen tins of sardines with more leg room than I had. Not worth it for the price I paid.,2,room,Marketing,Sophie
I have seen tins of sardines with more leg room than I had. Not worth it for the price I paid.,2,price,Sales,Sophie
While I love children as much as the next person. I didn't appreciate being sat next to what appeared to be the entire Kings College Choir's under 1 year olds,2,other,Unknown,Sophie
The USB socket had broken in my seat. How am I supposed to entertain my baby for all of that time?,2,broken,Operations,Toni
The free socks in the flight accessories were not as soft as advertised,2,advertise,Marketing,Toni
