Weekday,Method of Travel,Sustainable?,Number of Trips,Trips per day,% of trips per day
Tu,Car,Non-sustainable,364,1000,0.36
Tu,"Dad's Shoulders",Sustainable,15,1000,0.02
Tu,Walk,Sustainable,259,1000,0.26
Tu,Van,Non-sustainable,46,1000,0.05
Tu,Bicycle,Sustainable,220,1000,0.22
Tu,Aeroplane,Non-sustainable,9,1000,0.01
Tu,Skipped,Sustainable,3,1000,0
Tu,Scooter,Sustainable,84,1000,0.08
Th,Bicycle,Sustainable,62,1000,0.06
Th,Walk,Sustainable,510,1000,0.51
Th,Aeroplane,Non-sustainable,9,1000,0.01
Th,Scooter,Sustainable,84,1000,0.08
Th,Helicopter,Non-sustainable,24,1000,0.02
Th,Car,Non-sustainable,302,1000,0.3
Th,"Dad's Shoulders",Sustainable,9,1000,0.01
M,Hopped,Sustainable,3,1000,0
M,Helicopter,Non-sustainable,72,1000,0.07
M,Van,Non-sustainable,37,1000,0.04
M,Bicycle,Sustainable,210,1000,0.21
M,"Mum's Shoulders",Sustainable,9,1000,0.01
M,Scooter,Sustainable,84,1000,0.08
M,Aeroplane,Non-sustainable,9,1000,0.01
M,Walk,Sustainable,154,1000,0.15
M,Car,Non-sustainable,422,1000,0.42
F,Scooter,Sustainable,168,1000,0.17
F,"Mum's Shoulders",Sustainable,24,1000,0.02
F,Van,Non-sustainable,46,1000,0.05
F,Walk,Sustainable,326,1000,0.33
F,Bicycle,Sustainable,173,1000,0.17
F,Car,Non-sustainable,254,1000,0.25
F,Aeroplane,Non-sustainable,9,1000,0.01
W,Van,Non-sustainable,33,1000,0.03
W,Walk,Sustainable,154,1000,0.15
W,"Mum's Shoulders",Sustainable,13,1000,0.01
W,Car,Non-sustainable,413,1000,0.41
W,Jumped,Sustainable,3,1000,0
W,Scooter,Sustainable,168,1000,0.17
W,Bicycle,Sustainable,207,1000,0.21
W,Aeroplane,Non-sustainable,9,1000,0.01
