Sustainable?,Method of Travel,Weekday,Number of Trips,Trips per day,% of trips per day
Unsustainable,Aeroplane,F,9,1000,0.01
Sustainable,Bicycle,F,173,1000,0.17
Unsustainable,Car,F,254,1000,0.25
Sustainable,Mum's Shoulders,F,24,1000,0.02
Sustainable,Scooter,F,168,1000,0.17
Unsustainable,Van,F,46,1000,0.05
Sustainable,Walk,F,326,1000,0.33
Unsustainable,Aeroplane,M,9,1000,0.01
Sustainable,Bicycle,M,210,1000,0.21
Unsustainable,Car,M,422,1000,0.42
Unsustainable,Helicopter,M,72,1000,0.07
Sustainable,Hopped,M,3,1000,0.0
Sustainable,Mum's Shoulders,M,9,1000,0.01
Sustainable,Scooter,M,84,1000,0.08
Unsustainable,Van,M,37,1000,0.04
Sustainable,Walk,M,154,1000,0.15
Unsustainable,Aeroplane,Th,9,1000,0.01
Sustainable,Bicycle,Th,62,1000,0.06
Unsustainable,Car,Th,302,1000,0.3
Sustainable,Dad's Shoulders,Th,9,1000,0.01
Unsustainable,Helicopter,Th,24,1000,0.02
Sustainable,Scooter,Th,84,1000,0.08
Sustainable,Walk,Th,510,1000,0.51
Unsustainable,Aeroplane,Tu,9,1000,0.01
Sustainable,Bicycle,Tu,220,1000,0.22
Unsustainable,Car,Tu,364,1000,0.36
Sustainable,Dad's Shoulders,Tu,15,1000,0.02
Sustainable,Scooter,Tu,84,1000,0.08
Sustainable,Skipped,Tu,3,1000,0.0
Unsustainable,Van,Tu,46,1000,0.05
Sustainable,Walk,Tu,259,1000,0.26
Unsustainable,Aeroplane,W,9,1000,0.01
Sustainable,Bicycle,W,207,1000,0.21
Unsustainable,Car,W,413,1000,0.41
Sustainable,Jumped,W,3,1000,0.0
Sustainable,Mum's Shoulders,W,13,1000,0.01
Sustainable,Scooter,W,168,1000,0.17
Unsustainable,Van,W,33,1000,0.03
Sustainable,Walk,W,154,1000,0.15
