Student's Avg Score,Passed Subjects,Student ID,Gender
88.7,6,300,Female
86.4,6,634,Polygender
79,4,495,Female
85.6,6,985,Male
87.3,6,220,Female
77,3,992,Female
80.6,6,941,Female
81.4,5,849,Polygender
81.3,5,993,Non-binary
88,7,23,Bigender
78.1,4,898,Male
84.6,6,439,Polygender
83,5,341,Female
83.4,5,952,Male
73.4,2,59,Male
73.6,2,108,Female
81.6,5,333,Female
85.1,6,25,Female
80.9,4,345,Female
78.1,4,143,Male
82.9,6,705,Male
81.4,4,489,Male
81.3,5,319,Female
83.3,5,602,Male
77,3,423,Male
75.9,3,301,Female
78.4,4,942,Female
81.4,5,275,Male
80.4,4,253,Male
80.4,4,956,Male
80.3,5,29,Female
82.6,5,944,Male
80.1,4,666,Female
80.4,5,402,Male
79.4,4,385,Female
77.9,3,290,Female
76.6,3,343,Male
80.6,5,488,Male
77.4,4,534,Female
80.1,5,773,Female
77.3,3,548,Female
77.6,5,48,Female
79.4,5,860,Genderfluid
80,5,492,Male
79.4,4,977,Non-binary
82.4,4,691,Male
73.1,3,246,Male
78.1,4,179,Non-binary
82.4,6,498,Genderqueer
77.4,4,610,Male
77.9,3,403,Male
80.3,5,3,Female
88.3,7,130,Male
72.6,3,103,Female
75.1,3,224,Male
76.9,5,915,Female
79.1,4,983,Male
80,4,284,Male
81.1,5,630,Female
80.1,4,268,Male
71.7,3,580,Female
84,6,434,Genderfluid
85.6,5,740,Female
76.6,4,482,Female
82.9,5,720,Male
73.9,3,61,Male
83,4,196,Male
82.3,5,344,Female
78.4,4,270,Male
75,3,436,Female
83.9,6,931,Female
77.6,3,554,Female
69.4,1,30,Male
87,5,550,Male
80.6,5,219,Bigender
70.9,1,723,Female
76.4,3,349,Male
81,5,471,Female
88.1,6,928,Genderfluid
81,4,144,Female
79,4,505,Male
83.6,5,841,Female
79.3,5,13,Male
80.4,3,116,Male
81.1,5,822,Male
79.3,6,862,Female
77.1,3,456,Male
83.4,4,972,Male
89.6,6,687,Female
85,5,657,Female
