"ID","Joining Date","Ethnicity","Date of Birth","Account Type"
863243,2023-01-01,"Other",2007-12-30,"Platinum"
893948,2023-01-01,"White",2013-09-01,"Gold"
871764,2023-01-02,"White",1967-10-29,"Gold"
527712,2023-01-02,"White",1996-09-27,"Platinum"
471554,2023-01-02,"White",1990-04-22,"Basic"
761244,2023-01-02,"White",1942-12-26,"Platinum"
845293,2023-01-02,"Black",1946-05-28,"Platinum"
490910,2023-01-03,"White",1981-05-23,"Basic"
349505,2023-01-03,"White",1961-09-13,"Basic"
754791,2023-01-03,"Other",1952-07-17,"Basic"
604893,2023-01-04,"White",1959-11-10,"Platinum"
246208,2023-01-04,"White",1996-09-11,"Platinum"
223982,2023-01-04,"White",1956-08-12,"Gold"
311919,2023-01-04,"Other",1961-06-26,"Gold"
920752,2023-01-04,"White",1990-09-01,"Gold"
899966,2023-01-05,"White",2015-02-13,"Gold"
806747,2023-01-05,"Other",2007-05-31,"Basic"
929308,2023-01-05,"Other",2004-10-19,"Basic"
314042,2023-01-05,"Asian",1986-12-26,"Platinum"
829199,2023-01-05,"Other",1978-01-25,"Basic"
809513,2023-01-06,"Black",1951-01-01,"Basic"
840464,2023-01-06,"Asian",1968-07-18,"Gold"
543545,2023-01-08,"Asian",1986-08-30,"Basic"
191607,2023-01-09,"White",1963-03-15,"Gold"
602662,2023-01-09,"Other",1958-03-07,"Basic"
491519,2023-01-10,"Asian",1955-04-04,"Gold"
716354,2023-01-10,"Black",1997-12-18,"Gold"
174968,2023-01-10,"Other",1980-09-30,"Platinum"
427577,2023-01-10,"Asian",1971-01-06,"Basic"
994611,2023-01-10,"Black",1994-06-19,"Basic"
547679,2023-01-11,"White",1949-02-07,"Basic"
888481,2023-01-11,"Other",2017-10-14,"Basic"
806735,2023-01-11,"Asian",1945-04-15,"Platinum"
177159,2023-01-11,"White",1953-11-10,"Basic"
755120,2023-01-12,"Other",1984-07-06,"Platinum"
673358,2023-01-12,"Other",2014-01-14,"Platinum"
155713,2023-01-12,"White",2009-07-03,"Platinum"
683051,2023-01-13,"Black",1957-07-08,"Basic"
580145,2023-01-13,"Asian",2015-11-14,"Basic"
731003,2023-01-13,"White",1941-09-16,"Platinum"
674869,2023-01-13,"Asian",1991-06-06,"Platinum"
201696,2023-01-14,"Asian",1996-02-05,"Gold"
276875,2023-01-14,"Black",1989-08-27,"Gold"
483606,2023-01-14,"Other",1941-07-03,"Platinum"
306487,2023-01-14,"Black",1970-06-26,"Basic"
176024,2023-01-14,"Other",1999-12-26,"Gold"
119237,2023-01-15,"Other",2012-09-18,"Platinum"
568991,2023-01-16,"White",1979-04-27,"Gold"
