ID,Joining Date,Account Type,Date of Birth,Ethnicity
100185,2023-05-20,Basic,1952-07-29,Asian
101515,2023-04-14,Gold,1974-08-11,Black
101744,2023-08-29,Basic,1945-01-21,Asian
102704,2023-01-23,Basic,2000-03-09,Black
103488,2023-08-28,Basic,1957-09-26,Other
104185,2023-04-25,Basic,1989-06-08,White
107924,2023-08-02,Gold,1975-09-02,Black
111490,2023-07-02,Basic,1946-03-01,Black
111501,2023-10-12,Gold,1999-05-03,Black
112161,2023-11-13,Platinum,1967-06-27,Asian
112311,2023-05-09,Gold,1990-08-11,Other
112430,2023-07-19,Basic,1948-12-08,White
113596,2023-09-30,Basic,2005-11-19,Black
114484,2023-07-20,Basic,1987-01-19,Black
115026,2023-08-01,Basic,1993-02-26,Asian
115578,2023-07-29,Gold,1961-09-02,Black
115702,2023-03-14,Platinum,1977-02-17,Black
116248,2023-07-02,Basic,2004-02-04,White
119168,2023-12-15,Basic,2015-04-15,Asian
119237,2023-01-15,Platinum,2012-09-18,Other
119971,2023-10-01,Basic,1963-05-21,Asian
120476,2023-06-18,Platinum,1976-05-27,Other
121392,2023-08-15,Gold,1980-04-06,Black
121769,2023-08-13,Gold,1948-12-31,Asian
124463,2023-08-18,Basic,1943-05-12,Other
124765,2023-07-17,Basic,1965-10-15,Black
125311,2023-10-01,Basic,2008-05-01,Black
125458,2023-03-25,Basic,1960-06-23,Other
126580,2023-02-07,Platinum,1945-07-17,Black
127539,2023-08-27,Platinum,2001-10-02,Other
127541,2023-05-15,Gold,2016-07-13,Asian
128016,2023-06-04,Platinum,1952-10-26,Black
128220,2023-02-27,Basic,1947-03-22,Other
128635,2023-12-12,Basic,2012-06-16,Asian
129983,2023-11-07,Basic,2001-04-12,Asian
130206,2023-04-10,Gold,1972-03-19,Asian
130835,2023-12-04,Basic,1984-06-07,White
131132,2023-06-29,Platinum,1949-08-06,White
131879,2023-05-04,Platinum,1952-09-02,Other
132163,2023-03-29,Basic,2019-08-19,White
134047,2023-04-08,Basic,1959-04-06,Black
134738,2023-02-04,Basic,1992-04-21,Asian
135215,2023-12-23,Platinum,1955-02-18,Other
135265,2023-03-28,Platinum,1940-02-09,White
139501,2023-05-17,Basic,1994-01-01,Asian
139746,2023-01-19,Gold,1948-02-27,Black
140062,2023-11-22,Platinum,2012-06-07,Black
140408,2023-12-23,Gold,1955-03-17,Black
141574,2023-02-09,Platinum,2012-12-18,Other
141629,2023-11-04,Basic,1957-03-09,Other
141861,2023-12-10,Gold,2005-06-13,Other
142608,2023-07-21,Gold,1994-08-16,Black
142674,2023-10-27,Basic,1987-09-02,Other
143337,2023-05-17,Gold,1980-06-21,Other
145716,2023-09-05,Gold,1995-03-20,Asian
145928,2023-11-23,Basic,1941-08-16,Other
146884,2023-08-24,Basic,1961-05-19,Black
147410,2023-12-08,Platinum,2008-10-02,White
148755,2023-09-17,Platinum,1970-10-21,White
149442,2023-02-23,Gold,1952-06-10,Other
149481,2023-06-18,Basic,1959-06-26,Asian
150324,2023-08-11,Gold,2017-06-13,White
150648,2023-02-02,Basic,1950-06-04,Black
150853,2023-02-05,Basic,1991-07-09,Other
151356,2023-08-28,Basic,2013-02-11,Asian
152219,2023-09-03,Basic,1968-11-18,Black
155384,2023-09-09,Platinum,1992-07-04,Asian
155713,2023-01-12,Platinum,2009-07-03,White
158058,2023-10-28,Platinum,1955-02-07,Other
158161,2023-07-09,Basic,2014-10-15,White
158323,2023-09-24,Platinum,1973-05-07,White
158712,2023-12-13,Gold,1948-11-27,Black
159526,2023-05-09,Basic,1986-12-22,Asian
159537,2023-09-26,Gold,2012-07-30,Asian
159759,2023-09-29,Gold,1993-04-29,Black
162027,2023-08-08,Gold,1992-03-15,Other
163418,2023-12-28,Platinum,2017-10-24,Other
163670,2023-09-17,Platinum,1970-09-07,White
165263,2023-10-26,Platinum,1970-10-15,Other
166090,2023-04-01,Platinum,2016-02-04,Black
166124,2023-09-08,Gold,1966-05-31,Black
166958,2023-08-27,Platinum,1947-05-02,Black
167376,2023-03-26,Basic,2004-06-25,Black
167545,2023-10-23,Platinum,1987-03-15,White
168221,2023-08-17,Gold,2003-02-26,Other
168605,2023-11-14,Basic,1983-09-26,Black
169924,2023-09-11,Platinum,1977-10-20,White
172511,2023-10-18,Gold,1945-07-11,Other
174699,2023-12-02,Gold,1989-03-13,Asian
174968,2023-01-10,Platinum,1980-09-30,Other
175875,2023-10-10,Gold,1970-11-19,Asian
176024,2023-01-14,Gold,1999-12-26,Other
176117,2023-11-28,Gold,1966-04-19,Asian
177159,2023-01-11,Basic,1953-11-10,White
177977,2023-05-10,Basic,1957-04-02,Asian
178058,2023-03-29,Gold,1988-01-01,Black
181477,2023-04-12,Gold,1984-08-22,Black
182172,2023-10-12,Basic,1940-11-11,Other
182216,2023-06-11,Platinum,1979-02-13,Other
182986,2023-10-23,Basic,2006-01-01,Other
184141,2023-03-22,Basic,1949-03-18,Black
184178,2023-04-09,Basic,1958-10-29,Asian
187833,2023-12-20,Basic,1992-04-08,Other
188081,2023-02-26,Basic,1969-05-29,Other
188536,2023-09-09,Basic,1946-12-25,Other
189309,2023-10-24,Platinum,1985-01-29,Other
189566,2023-04-14,Basic,1962-09-08,Other
189787,2023-01-20,Basic,1986-05-12,Black
189930,2023-05-05,Gold,1983-01-09,White
190312,2023-11-03,Gold,2014-01-21,White
191607,2023-01-09,Gold,1963-03-15,White
192505,2023-04-06,Platinum,1966-10-15,White
192752,2023-07-12,Basic,1981-08-29,Asian
194394,2023-10-16,Gold,1991-06-18,Asian
194739,2023-12-15,Basic,2002-03-29,Other
194837,2023-07-12,Platinum,1962-06-28,Other
199260,2023-05-10,Basic,1992-01-31,Other
200988,2023-02-24,Platinum,1969-10-08,Asian
201146,2023-08-17,Basic,1976-07-01,Black
201221,2023-08-06,Gold,1941-11-10,Black
201696,2023-01-14,Gold,1996-02-05,Asian
202010,2023-06-09,Gold,1988-11-23,Black
202400,2023-08-13,Basic,1962-06-28,White
202437,2023-10-29,Platinum,1976-12-30,Other
202785,2023-06-08,Platinum,1948-09-11,Black
202946,2023-06-18,Gold,1960-09-16,Black
203783,2023-02-24,Platinum,1975-07-10,Black
203942,2023-12-28,Gold,2016-08-27,Asian
206041,2023-10-13,Gold,2010-10-18,White
207622,2023-09-22,Platinum,1959-12-29,White
209144,2023-05-02,Basic,1948-11-22,Black
210727,2023-07-25,Platinum,1968-04-06,White
210741,2023-05-15,Gold,1985-01-08,White
211683,2023-07-02,Basic,2005-09-04,Other
212028,2023-09-08,Basic,2008-02-19,White
212881,2023-07-16,Platinum,2002-03-19,Black
213378,2023-09-15,Basic,1987-07-03,Black
213994,2023-10-29,Gold,1961-04-16,White
214055,2023-06-21,Basic,1976-12-04,Asian
215044,2023-05-09,Basic,2011-09-11,White
217393,2023-07-24,Platinum,1947-10-29,Asian
217539,2023-10-29,Basic,1954-07-03,White
219792,2023-05-12,Gold,2003-04-21,Black
220298,2023-11-12,Gold,1978-07-05,Asian
220423,2023-07-04,Platinum,1940-05-23,Other
221128,2023-06-29,Basic,1978-08-16,Black
221229,2023-03-13,Platinum,1965-02-26,White
221238,2023-11-01,Platinum,1940-12-28,Other
222493,2023-08-02,Platinum,1941-12-06,Asian
222775,2023-09-30,Basic,1960-11-30,White
222860,2023-05-23,Basic,2012-02-11,Black
223660,2023-06-28,Gold,1986-10-20,White
223982,2023-01-04,Gold,1956-08-12,White
224213,2023-11-27,Platinum,1992-01-17,Other
226852,2023-04-14,Platinum,2017-02-24,Black
226854,2023-12-07,Gold,1988-08-03,White
228463,2023-07-19,Gold,2011-11-20,Other
228495,2023-09-08,Basic,2006-04-07,Other
228727,2023-09-06,Platinum,1964-03-29,Other
229517,2023-10-20,Platinum,1969-05-26,Asian
230685,2023-12-21,Platinum,1961-02-17,Other
232108,2023-12-10,Gold,2009-01-24,Asian
232704,2023-09-17,Gold,1956-10-20,Black
234458,2023-06-27,Basic,2010-05-29,White
234964,2023-10-10,Platinum,1962-09-14,Other
235138,2023-11-15,Platinum,1967-04-23,Asian
236432,2023-02-20,Basic,1957-10-13,White
237507,2023-12-02,Basic,1944-04-06,Black
238622,2023-10-20,Gold,1995-10-27,Asian
239484,2023-02-06,Gold,1999-05-01,Other
239922,2023-05-15,Basic,1989-10-31,Asian
239999,2023-08-10,Platinum,1988-09-07,Black
242782,2023-07-03,Platinum,1942-11-04,Other
245830,2023-07-06,Basic,1972-09-02,Asian
246208,2023-01-04,Platinum,1996-09-11,White
247253,2023-02-21,Gold,1987-09-26,Asian
248371,2023-03-01,Gold,1979-12-30,Asian
248692,2023-05-01,Basic,1949-03-10,Black
250381,2023-03-26,Platinum,1945-05-18,Other
251536,2023-10-06,Basic,1957-05-14,Asian
252873,2023-09-17,Basic,1946-02-17,Other
253467,2023-02-05,Basic,1984-07-29,Asian
253699,2023-08-23,Gold,1954-12-31,Other
255005,2023-04-08,Basic,1941-01-04,White
255988,2023-03-24,Basic,2017-06-07,Asian
256154,2023-07-12,Gold,1957-03-30,Asian
256547,2023-08-30,Gold,2013-08-21,Black
258885,2023-03-12,Basic,1943-03-16,Black
259388,2023-10-15,Platinum,1984-08-29,Black
260096,2023-11-20,Basic,1955-01-10,Black
261620,2023-05-07,Gold,1990-07-30,Black
261886,2023-10-13,Basic,1974-05-23,Asian
263796,2023-02-24,Gold,1952-02-10,White
264065,2023-03-30,Platinum,1975-12-08,Other
268478,2023-08-31,Gold,1952-06-14,Black
268700,2023-12-04,Gold,2008-10-05,White
269274,2023-08-28,Platinum,2000-01-08,White
270858,2023-12-21,Basic,2004-08-24,Black
271167,2023-12-15,Platinum,1944-05-23,Asian
271529,2023-11-21,Platinum,2012-07-10,Asian
271596,2023-11-30,Gold,2000-09-10,White
272178,2023-09-28,Gold,1985-03-03,White
273251,2023-08-09,Basic,1963-03-23,Asian
274486,2023-09-11,Gold,2010-04-11,White
276875,2023-01-14,Gold,1989-08-27,Black
279177,2023-11-07,Basic,1967-02-26,White
280225,2023-05-14,Platinum,1996-08-25,Asian
282672,2023-04-09,Platinum,1991-07-20,Black
284005,2023-04-05,Basic,1992-07-02,Asian
285157,2023-04-21,Gold,2010-01-16,Asian
285333,2023-12-08,Gold,1948-03-22,Other
285733,2023-10-16,Gold,2000-05-19,Black
285940,2023-04-02,Platinum,2017-06-03,Black
287144,2023-03-23,Platinum,1976-09-25,White
287391,2023-02-06,Platinum,1954-11-25,Other
287844,2023-04-08,Basic,1952-02-15,Other
290840,2023-02-14,Gold,2001-08-03,Asian
293145,2023-05-29,Gold,1989-08-07,Black
293767,2023-10-07,Platinum,2018-01-16,Asian
293881,2023-10-29,Basic,1963-03-10,Black
296100,2023-03-19,Gold,1991-10-22,Other
296948,2023-05-21,Platinum,1986-12-10,Black
298919,2023-06-03,Platinum,2008-07-17,Asian
300208,2023-05-11,Gold,2008-04-03,White
