Month,Breakdown,Country,Number of Tourists
Jan-10,Europe,Germany,5890.0
Jan-10,Europe,Italy,12276.0
Jan-10,Europe,Russia,5873.0
Jan-10,Europe,United Kingdom,8405.0
Jan-10,Asia,China,6069.0
Jan-10,Asia,India,1742.0
Jan-10,Europe,France,6899.0
Feb-10,Europe,Germany,6602.0
Feb-10,Europe,Italy,12003.0
Feb-10,Europe,Russia,3285.0
Feb-10,Europe,United Kingdom,10422.0
Feb-10,Asia,China,13345.0
Feb-10,Asia,India,1594.0
Feb-10,Europe,France,8464.0
Mar-10,Europe,Germany,8554.0
Mar-10,Europe,Italy,13153.0
Mar-10,Europe,Russia,4301.0
Mar-10,Europe,United Kingdom,11394.0
Mar-10,Asia,China,6144.0
Mar-10,Asia,India,1385.0
Mar-10,Europe,France,7190.0
Apr-10,Europe,Germany,5317.0
Apr-10,Europe,Italy,7577.0
Apr-10,Europe,Russia,3899.0
Apr-10,Europe,United Kingdom,9529.0
Apr-10,Asia,China,7060.0
Apr-10,Asia,India,1802.0
Apr-10,Europe,France,5459.0
May-10,Europe,Germany,7634.0
May-10,Europe,Italy,3213.0
May-10,Europe,Russia,3704.0
May-10,Europe,United Kingdom,9460.0
May-10,Asia,China,8964.0
May-10,Asia,India,2400.0
May-10,Europe,France,2920.0
Jun-10,Europe,Germany,3748.0
Jun-10,Europe,Italy,3495.0
Jun-10,Europe,Russia,2569.0
Jun-10,Europe,United Kingdom,6728.0
Jun-10,Asia,China,8615.0
Jun-10,Asia,India,1999.0
Jun-10,Europe,France,1155.0
Jul-10,Europe,Germany,4402.0
Jul-10,Europe,Italy,3882.0
Jul-10,Europe,Russia,3098.0
Jul-10,Europe,United Kingdom,9053.0
Jul-10,Asia,China,12449.0
Jul-10,Asia,India,1871.0
Jul-10,Europe,France,1464.0
Aug-10,Europe,Germany,4943.0
Aug-10,Europe,Italy,8351.0
Aug-10,Europe,Russia,4176.0
Aug-10,Europe,United Kingdom,10259.0
Aug-10,Asia,China,14998.0
Aug-10,Asia,India,1419.0
Aug-10,Europe,France,2257.0
Sep-10,Europe,Germany,6412.0
Sep-10,Europe,Italy,4167.0
Sep-10,Europe,Russia,3488.0
Sep-10,Europe,United Kingdom,9917.0
Sep-10,Asia,China,13028.0
Sep-10,Asia,India,1838.0
Sep-10,Europe,France,2061.0
Oct-10,Europe,Germany,8937.0
Oct-10,Europe,Italy,5153.0
Oct-10,Europe,Russia,4482.0
Oct-10,Europe,United Kingdom,10419.0
Oct-10,Asia,China,13476.0
Oct-10,Asia,India,2387.0
Oct-10,Europe,France,4159.0
Nov-10,Europe,Germany,8444.0
Nov-10,Europe,Italy,6506.0
Nov-10,Europe,Russia,4750.0
Nov-10,Europe,United Kingdom,9614.0
Nov-10,Asia,China,8313.0
Nov-10,Asia,India,3110.0
Nov-10,Europe,France,5930.0
Dec-10,Europe,Germany,6225.0
Dec-10,Europe,Italy,9845.0
Dec-10,Europe,Russia,5486.0
