Destination,Date,Rolling Week Avg,Rolling Week Total
All,01/01/2021,277901.71428571426,1945312
All,01/02/2021,448515.5714285714,3139609
All,01/03/2021,473116.5714285714,3311816
All,02/01/2021,347806.0,2434642
All,02/02/2021,450236.14285714284,3151653
All,02/03/2021,466970.28571428574,3268792
All,03/01/2021,410891.5714285714,2876241
All,03/02/2021,453140.28571428574,3171982
All,03/03/2021,489556.85714285716,3426898
All,04/01/2021,462858.85714285716,3240012
All,04/02/2021,435220.5714285714,3046544
All,04/03/2021,490221.5714285714,3431551
All,05/01/2021,444862.0,3114034
All,05/02/2021,428793.5714285714,3001555
All,05/03/2021,476643.4285714286,3336504
All,06/01/2021,450992.85714285716,3156950
All,06/02/2021,436846.28571428574,3057924
All,06/03/2021,492790.5714285714,3449534
All,07/01/2021,460389.4285714286,3222726
All,07/02/2021,442986.14285714284,3100903
All,07/03/2021,494521.4285714286,3461650
All,08/01/2021,462264.0,3235848
All,08/02/2021,454402.28571428574,3180816
All,08/03/2021,494304.14285714284,3460129
All,09/01/2021,461066.0,3227462
All,09/02/2021,445803.0,3120621
All,09/03/2021,481353.14285714284,3369472
All,10/01/2021,464394.28571428574,3250760
All,10/02/2021,439363.0,3075541
All,10/03/2021,463845.28571428574,3246917
All,11/01/2021,482847.5714285714,3379933
All,11/02/2021,431473.28571428574,3020313
All,11/03/2021,461740.4285714286,3232183
All,12/01/2021,482045.71428571426,3374320
All,12/02/2021,414450.0,2901150
All,12/03/2021,476903.0,3338321
All,13/01/2021,487046.0,3409322
All,13/02/2021,423255.0,2962785
All,13/03/2021,467917.71428571426,3275424
All,14/01/2021,487405.71428571426,3411840
All,14/02/2021,422959.85714285716,2960719
All,14/03/2021,446902.71428571426,3128319
All,15/01/2021,479907.14285714284,3359350
All,15/02/2021,416338.28571428574,2914368
All,15/03/2021,441299.14285714284,3089094
All,16/01/2021,470045.14285714284,3290316
All,16/02/2021,409475.5714285714,2866329
All,16/03/2021,435924.0,3051468
All,17/01/2021,457354.4285714286,3201481
All,17/02/2021,418540.0,2929780
All,17/03/2021,429756.71428571426,3008297
All,18/01/2021,446341.5714285714,3124391
All,18/02/2021,438565.0,3069955
All,18/03/2021,431050.4285714286,3017353
All,19/01/2021,427560.5714285714,2992924
All,19/02/2021,445191.14285714284,3116338
All,19/03/2021,404296.85714285716,2830078
All,20/01/2021,414476.0,2901332
All,20/02/2021,431038.0,3017266
All,20/03/2021,388650.14285714284,2720551
All,21/01/2021,398513.14285714284,2789592
All,21/02/2021,443012.85714285716,3101090
All,21/03/2021,401785.71428571426,2812500
All,22/01/2021,407100.71428571426,2849705
All,22/02/2021,452194.0,3165358
All,22/03/2021,411218.5714285714,2878530
All,23/01/2021,428431.0,2999017
All,23/02/2021,476745.4285714286,3337218
All,23/03/2021,401206.85714285716,2808448
All,24/01/2021,445683.14285714284,3119782
All,24/02/2021,452839.0,3169873
All,24/03/2021,409750.0,2868250
All,25/01/2021,454358.71428571426,3180511
All,25/02/2021,443229.4285714286,3102606
All,25/03/2021,418600.28571428574,2930202
All,26/01/2021,478484.5714285714,3349392
All,26/02/2021,466079.0,3262553
All,26/03/2021,427145.4285714286,2990018
All,27/01/2021,489687.4285714286,3427812
All,27/02/2021,465922.4285714286,3261457
All,27/03/2021,439300.71428571426,3075105
All,28/01/2021,509757.71428571426,3568304
All,28/02/2021,463716.28571428574,3246014
All,28/03/2021,446051.5714285714,3122361
All,29/01/2021,508795.85714285716,3561571
All,29/03/2021,371148.85714285716,2598042
All,30/01/2021,485689.85714285716,3399829
All,30/03/2021,321603.71428571426,2251226
All,31/01/2021,468684.14285714284,3280789
All,31/03/2021,262597.14285714284,1838180
London,01/01/2021,93213.42857142857,652494
London,01/02/2021,165984.0,1161888
London,01/03/2021,176580.0,1236060
London,02/01/2021,111660.57142857143,781624
London,02/02/2021,155382.85714285713,1087680
London,02/03/2021,178324.85714285713,1248274
London,03/01/2021,144845.7142857143,1013920
London,03/02/2021,155106.57142857142,1085746
London,03/03/2021,187438.42857142858,1312069
London,04/01/2021,159290.85714285713,1115036
London,04/02/2021,153096.57142857142,1071676
London,04/03/2021,189833.57142857142,1328835
London,05/01/2021,149116.14285714287,1043813
London,05/02/2021,141936.7142857143,993557
London,05/03/2021,177119.14285714287,1239834
London,06/01/2021,159008.7142857143,1113061
London,06/02/2021,150394.7142857143,1052763
London,06/03/2021,185391.14285714287,1297738
London,07/01/2021,166073.2857142857,1162513
London,07/02/2021,153392.7142857143,1073749
London,07/03/2021,177011.85714285713,1239083
London,08/01/2021,175575.7142857143,1229030
London,08/02/2021,152933.42857142858,1070534
London,08/03/2021,161245.14285714287,1128716
London,09/01/2021,190765.7142857143,1335360
London,09/02/2021,161399.7142857143,1129798
London,09/03/2021,147176.0,1030232
London,10/01/2021,188118.2857142857,1316828
London,10/02/2021,163038.0,1141266
London,10/03/2021,152330.0,1066310
London,11/01/2021,205388.0,1437716
London,11/02/2021,153001.85714285713,1071013
London,11/03/2021,153406.85714285713,1073848
London,12/01/2021,204895.85714285713,1434271
London,12/02/2021,151300.85714285713,1059106
London,12/03/2021,162090.7142857143,1134635
London,13/01/2021,196013.14285714287,1372092
London,13/02/2021,156858.42857142858,1098009
London,13/03/2021,158965.14285714287,1112756
London,14/01/2021,197201.57142857142,1380411
London,14/02/2021,159594.85714285713,1117164
London,14/03/2021,155349.2857142857,1087445
London,15/01/2021,192126.0,1344882
London,15/02/2021,156798.0,1097586
London,15/03/2021,161681.2857142857,1131769
London,16/01/2021,181020.42857142858,1267143
London,16/02/2021,154453.0,1081171
London,16/03/2021,159116.42857142858,1113815
London,17/01/2021,170432.42857142858,1193027
London,17/02/2021,161375.7142857143,1129630
London,17/03/2021,146147.42857142858,1023032
London,18/01/2021,165661.2857142857,1159629
London,18/02/2021,174691.0,1222837
London,18/03/2021,144379.7142857143,1010658
London,19/01/2021,159438.57142857142,1116070
London,19/02/2021,182774.42857142858,1279421
London,19/03/2021,133257.57142857142,932803
London,20/01/2021,169539.2857142857,1186775
London,20/02/2021,179297.0,1255079
London,20/03/2021,124161.42857142857,869130
London,21/01/2021,164534.7142857143,1151743
London,21/02/2021,193265.2857142857,1352857
London,21/03/2021,128622.85714285714,900360
London,22/01/2021,169513.2857142857,1186593
London,22/02/2021,205891.57142857142,1441241
London,22/03/2021,122970.42857142857,860793
London,23/01/2021,176976.85714285713,1238838
London,23/02/2021,211172.14285714287,1478205
London,23/03/2021,123968.0,867776
London,24/01/2021,187127.57142857142,1309893
London,24/02/2021,192058.7142857143,1344411
London,24/03/2021,132164.57142857142,925152
London,25/01/2021,177712.0,1243984
London,25/02/2021,179534.2857142857,1256740
London,25/03/2021,149029.2857142857,1043205
London,26/01/2021,194421.0,1360947
London,26/02/2021,186911.42857142858,1308380
London,26/03/2021,157104.85714285713,1099734
London,27/01/2021,193409.57142857142,1353867
London,27/02/2021,177171.14285714287,1240198
London,27/03/2021,160212.0,1121484
London,28/01/2021,196276.85714285713,1373938
London,28/02/2021,170775.14285714287,1195426
London,28/03/2021,168414.7142857143,1178903
London,29/01/2021,191251.57142857142,1338761
London,29/03/2021,149018.0,1043126
London,30/01/2021,179455.57142857142,1256189
London,30/03/2021,129064.85714285714,903454
London,31/01/2021,164203.2857142857,1149423
London,31/03/2021,105212.14285714286,736485
New York,01/01/2021,120422.42857142857,842957
New York,01/02/2021,191925.57142857142,1343479
New York,01/03/2021,183626.14285714287,1285383
New York,02/01/2021,153986.7142857143,1077907
New York,02/02/2021,197813.7142857143,1384696
New York,02/03/2021,171303.7142857143,1199126
New York,03/01/2021,173401.57142857142,1213811
New York,03/02/2021,189642.2857142857,1327496
New York,03/03/2021,188505.7142857143,1319540
New York,04/01/2021,200880.85714285713,1406166
New York,04/02/2021,177561.85714285713,1242933
New York,04/03/2021,191333.85714285713,1339337
New York,05/01/2021,191463.7142857143,1340246
New York,05/02/2021,178928.2857142857,1252498
New York,05/03/2021,192492.57142857142,1347448
New York,06/01/2021,192934.7142857143,1350543
New York,06/02/2021,178625.57142857142,1250379
New York,06/03/2021,207902.85714285713,1455320
New York,07/01/2021,194245.85714285713,1359721
New York,07/02/2021,176731.7142857143,1237122
New York,07/03/2021,215149.7142857143,1506048
New York,08/01/2021,191771.57142857142,1342401
New York,08/02/2021,183861.14285714287,1287028
New York,08/03/2021,223918.14285714287,1567427
New York,09/01/2021,185470.42857142858,1298293
New York,09/02/2021,177196.2857142857,1240374
New York,09/03/2021,234442.0,1641094
New York,10/01/2021,188669.57142857142,1320687
New York,10/02/2021,169251.0,1184757
New York,10/03/2021,218427.7142857143,1528994
New York,11/01/2021,187499.85714285713,1312499
New York,11/02/2021,170641.14285714287,1194488
New York,11/03/2021,209920.57142857142,1469444
New York,12/01/2021,187003.7142857143,1309026
New York,12/02/2021,163974.42857142858,1147821
New York,12/03/2021,205905.7142857143,1441340
New York,13/01/2021,192440.42857142858,1347083
New York,13/02/2021,164016.0,1148112
New York,13/03/2021,193205.57142857142,1352439
New York,14/01/2021,183485.2857142857,1284397
New York,14/02/2021,166494.57142857142,1165462
New York,14/03/2021,177775.85714285713,1244431
New York,15/01/2021,181649.2857142857,1271545
New York,15/02/2021,157503.14285714287,1102522
New York,15/03/2021,169009.42857142858,1183066
New York,16/01/2021,175302.0,1227114
New York,16/02/2021,156016.57142857142,1092116
New York,16/03/2021,167111.0,1169777
New York,17/01/2021,174810.2857142857,1223672
New York,17/02/2021,158114.7142857143,1106803
New York,17/03/2021,169611.0,1187277
New York,18/01/2021,170375.2857142857,1192627
New York,18/02/2021,157932.14285714287,1105525
New York,18/03/2021,181437.85714285713,1270065
New York,19/01/2021,165764.14285714287,1160349
New York,19/02/2021,159817.0,1118719
New York,19/03/2021,171929.7142857143,1203508
New York,20/01/2021,150529.85714285713,1053709
New York,20/02/2021,157855.42857142858,1104988
New York,20/03/2021,174599.2857142857,1222195
New York,21/01/2021,148565.57142857142,1039959
New York,21/02/2021,158305.0,1108135
New York,21/03/2021,186224.7142857143,1303573
New York,22/01/2021,153377.2857142857,1073641
New York,22/02/2021,158167.14285714287,1107170
New York,22/03/2021,195217.57142857142,1366523
New York,23/01/2021,165281.7142857143,1156972
New York,23/02/2021,168117.0,1176819
New York,23/03/2021,183617.2857142857,1285321
New York,24/01/2021,169394.0,1185758
New York,24/02/2021,165609.0,1159263
New York,24/03/2021,180108.14285714287,1260757
New York,25/01/2021,177166.14285714287,1240163
New York,25/02/2021,169305.2857142857,1185137
New York,25/03/2021,166905.7142857143,1168340
New York,26/01/2021,183567.42857142858,1284972
New York,26/02/2021,179988.7142857143,1259921
New York,26/03/2021,169590.42857142858,1187133
New York,27/01/2021,199134.2857142857,1393940
New York,27/02/2021,177674.0,1243718
New York,27/03/2021,178532.2857142857,1249726
New York,28/01/2021,211059.85714285713,1477419
New York,28/02/2021,176221.57142857142,1233551
New York,28/03/2021,174800.42857142858,1223603
New York,29/01/2021,209913.57142857142,1469395
New York,29/03/2021,139997.57142857142,979983
New York,30/01/2021,200930.85714285713,1406516
New York,30/03/2021,121907.28571428571,853351
New York,31/01/2021,201169.0,1408183
New York,31/03/2021,103586.14285714286,725103
Perth,01/01/2021,64265.857142857145,449861
Perth,01/02/2021,90606.0,634242
Perth,01/03/2021,112910.42857142857,790373
Perth,02/01/2021,82158.71428571429,575111
Perth,02/02/2021,97039.57142857143,679277
Perth,02/03/2021,117341.71428571429,821392
Perth,03/01/2021,92644.28571428571,648510
Perth,03/02/2021,108391.42857142857,758740
Perth,03/03/2021,113612.71428571429,795289
Perth,04/01/2021,102687.14285714286,718810
Perth,04/02/2021,104562.14285714286,731935
Perth,04/03/2021,109054.14285714286,763379
Perth,05/01/2021,104282.14285714286,729975
Perth,05/02/2021,107928.57142857143,755500
Perth,05/03/2021,107031.71428571429,749222
Perth,06/01/2021,99049.42857142857,693346
Perth,06/02/2021,107826.0,754782
Perth,06/03/2021,99496.57142857143,696476
Perth,07/01/2021,100070.28571428571,700492
Perth,07/02/2021,112861.71428571429,790032
Perth,07/03/2021,102359.85714285714,716519
Perth,08/01/2021,94916.71428571429,664417
Perth,08/02/2021,117607.71428571429,823254
Perth,08/03/2021,109140.85714285714,763986
Perth,09/01/2021,84829.85714285714,593809
Perth,09/02/2021,107207.0,750449
Perth,09/03/2021,99735.14285714286,698146
Perth,10/01/2021,87606.42857142857,613245
Perth,10/02/2021,107074.0,749518
