Batch No.,Name of Process Step,Bike Type,Batch Status,Datetime,Data Parameter,Target,Actual
7000,Warming Up,Mountain,1,2021-09-23 08:11:23.000000,Temperature,91,
7000,Warming Up,Mountain,1,2021-09-23 08:18:11.000000,Temperature,,59.2
7000,Warming Up,Mountain,1,2021-09-23 08:28:08.000000,Temperature,,72.9
7000,Warming Up,Mountain,1,2021-09-23 08:32:25.000000,Temperature,,104
7000,Warming Up,Mountain,1,2021-09-23 08:49:45.000000,Temperature,,137.55
7000,Warming Up,Mountain,1,2021-09-23 08:51:37.000000,Temperature,,113
7000,Shutter Open,Mountain,1,2021-09-23 08:57:00.000000,Current,7.104,
7000,Shutter Open,Mountain,1,2021-09-23 09:06:48.000000,Current,,6.396
7000,Shutter Open,Mountain,1,2021-09-23 09:15:29.000000,Current,,9.875
7000,Shutter Open,Mountain,1,2021-09-23 09:15:58.000000,Current,,7.44
7000,Shutter Open,Mountain,1,2021-09-23 09:18:39.000000,Current,,10.296
7000,Shutter Open,Mountain,1,2021-09-23 09:23:24.000000,Voltage,318,
7000,Shutter Open,Mountain,1,2021-09-23 09:40:33.000000,Voltage,,91
7000,Shutter Open,Mountain,1,2021-09-23 09:41:59.000000,Voltage,,183
7000,Shutter Open,Mountain,1,2021-09-23 09:49:44.000000,Voltage,,317.5
7000,Shutter Open,Mountain,1,2021-09-23 10:10:17.000000,Voltage,,405
7000,Shutter Open,Mountain,1,2021-09-23 10:17:21.000000,Voltage,,283.8
7000,Shutter Open,Mountain,1,2021-09-23 10:50:04.000000,Voltage,,333
7000,Shutter Open,Mountain,1,2021-09-23 10:50:33.000000,Voltage,368,
7000,Shutter Open,Mountain,1,2021-09-23 10:59:32.000000,Voltage,,536
7000,Painting 1,Mountain,1,2021-09-23 11:10:25.000000,Gas Flow,5400,
7000,Painting 1,Mountain,1,2021-09-23 11:17:32.000000,Gas Flow,,3320
7000,Painting 1,Mountain,1,2021-09-23 11:18:19.000000,Gas Flow,,3157
7000,Painting 1,Mountain,1,2021-09-23 11:24:48.000000,Gas Flow,,4368
7000,Painting 1,Mountain,1,2021-09-23 11:35:48.000000,Pressure,450,
7000,Painting 1,Mountain,1,2021-09-23 11:42:04.000000,Pressure,,768
7000,Painting 1,Mountain,1,2021-09-23 11:43:37.000000,Pressure,,465
7000,Painting 2,Mountain,1,2021-09-23 12:15:54.000000,Gas Flow,4260,
7000,Painting 2,Mountain,1,2021-09-23 12:18:56.000000,Gas Flow,,5400
7000,Painting 2,Mountain,1,2021-09-23 12:52:11.000000,Gas Flow,,5074
7000,Painting 2,Mountain,1,2021-09-23 12:54:48.000000,Gas Flow,,6324
7000,Painting 2,Mountain,1,2021-09-23 12:56:01.000000,Pressure,620,
7000,Painting 2,Mountain,1,2021-09-23 13:00:41.000000,Pressure,,504
7000,Painting 2,Mountain,1,2021-09-23 13:02:14.000000,Pressure,,405
7000,Gloss Finish,Mountain,1,2021-09-23 13:27:59.000000,Temperature,200.2,
7000,Gloss Finish,Mountain,1,2021-09-23 13:39:42.000000,Gas Flow,11700,
7000,Gloss Finish,Mountain,1,2021-09-23 13:40:37.000000,Voltage,180,
7000,Gloss Finish,Mountain,1,2021-09-23 13:48:16.000000,Voltage,,266
7000,Gloss Finish,Mountain,1,2021-09-23 14:03:29.000000,Gas Flow,,1269
7000,Gloss Finish,Mountain,1,2021-09-23 14:12:34.000000,Gas Flow,,1230
7000,Gloss Finish,Mountain,1,2021-09-23 14:18:01.000000,Gas Flow,,3000
7000,Gloss Finish,Mountain,1,2021-09-23 14:35:54.000000,Temperature,,101.4
7000,Gloss Finish,Mountain,1,2021-09-23 14:39:42.000000,Temperature,,196
7000,Gloss Finish,Mountain,1,2021-09-23 14:40:14.000000,Temperature,,151.5
