Season,Outcome,Special Circumstances,League,P,W,D,L,F,A,Pts,POS
1906-07,Same League,,SOUTH-2,22.0,14.0,5.0,3.0,58.0,23.0,33.0,1/12
1907-08,Relegated,,SOUTH-2,18.0,13.0,3.0,2.0,47.0,16.0,29.0,1/10
1908-09,Same League,,SOUTH-1,40.0,14.0,10.0,16.0,52.0,54.0,38.0,12/21
1909-10,Same League,,SOUTH-1,42.0,12.0,9.0,21.0,51.0,90.0,33.0,20/22
1910-11,Promoted,,SOUTH-1,38.0,10.0,9.0,19.0,47.0,64.0,29.0,19/20
1911-12,Same League,,SOUTH-2,26.0,16.0,1.0,9.0,73.0,24.0,33.0,4/14
1912-13,Relegated,,SOUTH-2,24.0,14.0,6.0,4.0,43.0,23.0,34.0,2/13
1913-14,Same League,,SOUTH-1,38.0,10.0,12.0,16.0,41.0,66.0,32.0,16/20
1914-15,Same League,,SOUTH-1,38.0,10.0,8.0,20.0,44.0,64.0,28.0,18/20
1915-16,,WW1,,,,,,,,,
1916-17,,WW1,,,,,,,,,
1917-18,,WW1,,,,,,,,,
1918-19,,WW1,,,,,,,,,
1919-20,Promoted,,SOUTH-1,42.0,13.0,17.0,12.0,46.0,48.0,43.0,11/22
1920-21,Same League,,FL-3S,42.0,14.0,8.0,20.0,44.0,61.0,36.0,17/22
1921-22,Same League,,FL-3S,42.0,8.0,11.0,23.0,34.0,74.0,27.0,22/22
1922-23,Same League,,FL-3S,42.0,12.0,13.0,17.0,49.0,54.0,37.0,15/22
1923-24,Same League,,FL-3S,42.0,12.0,10.0,20.0,53.0,84.0,34.0,19/22
1924-25,Same League,,FL-3S,42.0,19.0,5.0,18.0,51.0,61.0,43.0,10/22
1925-26,Same League,,FL-3S,42.0,19.0,4.0,19.0,78.0,73.0,42.0,11/22
1926-27,Same League,,FL-3S,42.0,14.0,6.0,22.0,64.0,77.0,34.0,19/22
1927-28,Same League,,FL-3S,42.0,20.0,6.0,16.0,80.0,64.0,46.0,7/22
1928-29,Same League,,FL-3S,42.0,15.0,11.0,16.0,80.0,75.0,41.0,12/22
1929-30,Same League,,FL-3S,42.0,15.0,13.0,14.0,69.0,59.0,43.0,11/22
1930-31,Same League,,FL-3S,42.0,22.0,5.0,15.0,76.0,60.0,49.0,5/22
